salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,class
83858.10406499999,0.0,20,4,15,8,69625.92060499999,9,51211.422276,0
49898.098069,73661.130275,72,4,3,6,135000.0,23,484565.21456800005,0
27323.5208,25669.242527,30,0,8,8,109207.420491,27,233145.852114,0
73249.479433,0.0,27,0,11,1,135000.0,24,49875.729973,0
40408.259885,40203.87327300001,54,2,5,0,135000.0,24,437909.355184,1
48225.183789,68253.62544,25,4,16,3,135000.0,23,179703.201598,0
45520.009723,39546.35737200001,33,1,5,2,135000.0,13,138640.219928,0
30372.275651,16722.784451,80,0,15,3,135000.0,10,481605.899589,0
33167.375416,65126.594875,26,1,9,6,135000.0,3,475809.177725,0
55260.32747999999,43367.829155,59,2,17,6,135000.0,3,450971.85206000006,1
100862.506577,0.0,77,3,5,7,135000.0,26,135444.830643,0
33926.486216000005,10685.457415,42,1,6,5,135000.0,20,338957.791218,1
34547.10556,18927.6536,69,4,6,8,112877.22464,24,178745.328735,0
50400.921572,74293.580058,46,2,2,5,135000.0,27,155881.157313,1
36771.82482900001,30038.657646,66,0,6,3,135000.0,2,285592.904387,0
57293.900474,57086.308413,61,3,11,7,135000.0,12,254309.369163,1
103162.115537,0.0,22,0,2,6,135000.0,29,20154.04327,0
84321.913336,0.0,40,4,17,7,134340.58253299998,21,240352.357467,1
44978.930983,10000.0,51,3,18,2,135000.0,19,30226.273177,1
33261.041895,34163.414676,74,1,11,2,135000.0,13,441965.517776,0
138174.401951,0.0,24,1,10,7,135000.0,27,34065.705388,0
146356.942509,0.0,74,2,1,5,135000.0,10,344798.66712,0
99339.798602,0.0,34,0,19,2,135000.0,26,6024.31096,0
71182.202659,28095.067203,63,0,16,5,135000.0,7,66611.494862,0
71550.590603,59565.06011900001,31,1,5,0,135000.0,3,160777.243219,0
86560.86808300001,0.0,55,3,18,7,135000.0,9,381447.693118,1
95906.640614,0.0,44,3,7,4,135000.0,10,470045.167022,1
79439.635801,0.0,27,4,16,7,135000.0,5,464938.983734,0
39651.737212,27572.876496,76,1,15,6,135000.0,7,327289.409485,0
41118.998133,60104.55912200001,25,4,16,1,135000.0,11,90189.798175,0
93839.265422,0.0,70,2,19,3,135000.0,30,332445.965936,0
113076.807916,0.0,45,3,7,1,135000.0,27,365643.433155,1
32036.685122000006,72727.649863,25,3,14,3,135000.0,24,74054.9112,0
20000.0,51104.51422,68,0,13,0,135000.0,13,213894.258398,0
39392.146354,75000.0,30,2,18,2,135000.0,15,266690.895244,0
112852.719151,0.0,48,4,5,8,86347.275658,14,407602.740295,1
38512.896031,15409.263797,48,1,1,3,135000.0,19,0.0,1
44428.605582,54226.153236,32,3,1,8,100494.532886,29,192674.524906,0
126738.69756400002,0.0,28,2,12,8,108739.17293,7,149647.00401099998,0
136683.37746800002,0.0,24,1,18,4,135000.0,27,212461.551561,0
53883.25098,27872.783705,54,4,2,5,135000.0,10,89236.34933,1
133290.500508,0.0,72,1,19,3,135000.0,19,478544.755812,0
123095.005976,0.0,53,4,9,0,135000.0,27,205545.717,1
41013.26647,65925.12099,77,4,13,1,135000.0,19,246458.974062,0
39800.441222,48711.702065,63,0,13,0,135000.0,3,147013.568147,0
53983.934863,31163.676578,29,3,14,7,135000.0,30,237006.252412,0
54807.826346,62457.764517,47,4,7,5,135000.0,29,348471.24407,1
140563.97306800002,0.0,45,2,7,7,135000.0,4,343021.382218,1
123345.482491,0.0,63,1,10,3,135000.0,19,141085.040923,0
74953.433254,0.0,63,2,14,0,135000.0,1,270405.039174,0
23157.496764,66802.862654,73,0,19,0,135000.0,1,104250.346259,0
142358.256798,0.0,35,3,5,3,135000.0,13,248291.258397,0
119209.327991,0.0,76,3,2,3,135000.0,12,35347.597557,0
122807.943841,0.0,62,0,16,8,98378.229582,8,172104.290958,0
48938.460705,23739.747112,65,1,18,6,135000.0,22,431340.422956,0
20000.0,33626.086883,30,2,11,6,135000.0,28,218843.650983,0
76509.601725,63881.842964,48,1,5,2,135000.0,15,337054.162196,1
20000.0,41533.130281,51,4,13,0,135000.0,2,470921.412413,1
64910.683962,17983.580771,47,3,3,2,135000.0,13,256440.259935,1
38812.226759,56132.299482,75,1,9,6,135000.0,24,310480.022729,0
69277.56094299999,43040.303323,20,2,0,4,135000.0,25,93838.186294,0
141497.92478,0.0,65,2,3,1,135000.0,3,406525.656945,0
140088.83117,0.0,64,4,14,8,135000.0,7,281727.27771999995,0
34934.230664999995,69994.331354,46,1,1,1,135000.0,26,461915.602277,1
69474.530533,20167.010789,69,4,8,4,135000.0,17,387894.214174,0
29272.234372000006,57041.511608,48,1,6,2,135000.0,26,436948.452485,1
64788.448728,34153.816708,79,4,15,1,135000.0,13,77918.10245199999,0
135639.879102,0.0,27,4,10,6,135000.0,2,19186.176339,0
105017.635671,0.0,78,0,18,0,135000.0,24,60901.154429,0
30651.278283,44825.577036,70,3,14,6,135000.0,21,274973.340477,0
124914.892715,0.0,20,3,5,0,135000.0,30,422490.715107,0
51554.603401,46669.131951,43,1,16,8,76038.45104500001,29,403873.206825,1
41756.585863,53099.382558,30,0,19,8,55950.037663,26,261237.011886,0
40777.177653,15349.017705000002,24,3,9,2,135000.0,29,389602.491329,0
22852.183547,63649.39264,20,3,10,3,135000.0,20,471134.001649,0
46972.721772,21508.292093,58,4,0,3,135000.0,6,202696.61481,1
81360.094718,0.0,57,2,0,5,135000.0,10,464026.010633,1
118399.673497,0.0,52,3,11,2,135000.0,16,349837.501935,1
97797.996137,0.0,51,1,8,0,135000.0,14,322701.685683,1
34013.230303,38244.757619,37,4,11,7,104974.930452,15,35509.867163,0
39825.375985,64632.657855,67,0,18,4,135000.0,5,449697.251442,0
42887.811822,46024.894513,68,0,18,5,135000.0,19,311664.922325,0
136958.055157,0.0,62,3,0,2,135000.0,1,471262.042169,0
73966.944053,28704.233454,28,1,14,6,135000.0,11,427243.056401,0
58996.45533400001,70073.29654,43,2,19,4,135000.0,5,327786.818262,1
147256.228351,0.0,54,0,17,1,135000.0,7,494074.745047,1
137604.47315799998,0.0,80,2,8,1,135000.0,12,129093.431017,0
67246.297282,39001.987729,70,1,17,4,135000.0,2,241223.867447,0
111248.535111,0.0,53,1,9,4,135000.0,17,464879.924638,1
138762.619268,0.0,27,3,9,7,135000.0,19,270868.145377,0
130104.215699,0.0,57,0,13,0,135000.0,22,0.0,1
66419.40224400001,71728.30907,70,1,0,6,135000.0,12,430196.545428,0
105905.171748,0.0,78,1,5,4,135000.0,2,221805.027165,0
66718.685917,39538.498514,22,3,13,0,135000.0,29,359392.594981,0
105371.376509,0.0,28,0,8,3,135000.0,13,118819.024404,0
150000.0,0.0,20,3,18,1,135000.0,10,52783.801205,0
78824.046643,0.0,70,1,4,6,135000.0,28,36615.608335,0
104203.665316,0.0,20,0,15,4,135000.0,9,472282.726946,0
81031.090904,0.0,20,3,17,8,69054.647511,3,281226.604312,0
35394.282205,48425.790193,26,1,9,4,135000.0,4,461495.780589,0
93010.350308,0.0,44,4,5,8,100031.323334,10,500000.0,1
89977.24698,0.0,29,2,4,7,135000.0,15,119006.379616,0
71357.389746,35901.364038,62,0,9,3,135000.0,21,413141.140078,0
86564.44795700001,0.0,33,2,19,5,135000.0,22,477016.950967,0
141029.819093,0.0,22,2,1,8,117850.377875,26,166924.908241,0
104962.641634,0.0,45,4,1,1,135000.0,17,344391.501987,1
91708.123346,0.0,50,3,2,8,121007.896137,7,446718.263022,1
79017.634267,0.0,24,1,2,1,135000.0,27,182439.1782,0
126987.435547,0.0,77,3,1,8,96672.282608,16,276517.612357,0
50959.117756,30872.912482,69,2,2,4,135000.0,14,158345.534772,0
97361.541187,0.0,52,2,11,1,135000.0,15,472890.196322,1
57871.069156,72104.896905,27,4,9,5,135000.0,30,40516.263751,0
114719.992852,0.0,35,2,0,6,135000.0,6,371147.624649,0
127173.596083,0.0,33,2,15,7,135000.0,3,278513.526009,0
22550.373789,21300.147222,78,3,12,2,135000.0,20,358223.856118,0
41046.871178,75000.0,46,2,4,3,135000.0,9,261612.267525,1
124898.076421,0.0,41,4,1,8,91488.725804,12,425863.757011,0
126582.411257,0.0,54,1,18,8,72968.41553500001,26,230828.112586,1
102972.170193,0.0,51,0,17,2,135000.0,4,157549.968066,1
28104.267596,55128.964997,79,0,18,3,135000.0,12,212529.627252,0
91758.289547,0.0,55,0,15,4,135000.0,4,95280.303626,1
64470.535021,66023.698107,72,0,14,5,135000.0,27,72924.567317,0
70008.342696,68243.480291,44,4,8,2,135000.0,2,369048.2026800001,1
43081.318215,45918.913696,41,1,16,5,135000.0,19,191982.403353,1
81168.48295599999,0.0,34,4,1,3,135000.0,24,35099.85573,0
37764.297656,66877.77036000001,25,1,18,2,135000.0,5,284129.425739,0
150000.0,0.0,23,4,9,3,135000.0,10,500000.0,0
30760.746227,56503.675261,78,3,14,1,135000.0,20,224080.096003,0
115765.85946500002,0.0,71,4,12,6,135000.0,8,394825.626351,0
50168.50762,19360.931322,34,2,9,4,135000.0,21,187646.344643,0
108117.309443,0.0,44,2,19,5,135000.0,30,304615.64555300004,1
117407.261004,0.0,23,1,15,0,135000.0,30,302195.479341,0
47941.259103,49966.121352,24,0,13,7,135000.0,7,83615.7243,0
98186.30577,0.0,76,3,18,1,135000.0,2,199271.623985,0
123561.030833,0.0,48,2,10,8,133029.287994,25,76055.514822,1
85061.248767,0.0,32,1,3,6,135000.0,26,474664.165124,0
42224.983335,33343.626932,60,1,15,1,135000.0,27,166459.624055,0
118559.781692,0.0,72,3,13,2,135000.0,16,287256.549931,0
120060.686196,0.0,21,1,8,2,135000.0,27,241135.19458200003,0
62275.60136,52300.640058,49,2,8,8,81536.718765,22,428596.18185,1
48687.531782,58467.24232100001,41,2,11,8,123576.224479,11,201617.395285,1
124449.273526,0.0,76,1,0,5,135000.0,17,124080.938554,0
102587.428547,0.0,20,1,12,6,135000.0,2,291874.293316,0
37922.355014,65862.36562699999,44,2,1,0,135000.0,27,411478.21941,1
20000.0,51088.217635,69,2,5,2,135000.0,20,203408.692433,0
20863.037937,69387.31246,53,4,13,0,135000.0,29,91408.708298,1
97753.982633,0.0,48,1,9,1,135000.0,27,228509.305517,1
76230.209933,51876.616881,70,2,9,0,135000.0,20,239003.972751,0
61490.094239,50292.742561,69,1,10,7,135000.0,2,122582.229007,0
71638.611696,33310.698176,26,1,17,6,135000.0,28,173247.378891,0
119640.779346,0.0,33,2,12,3,135000.0,3,331233.64480500005,0
85002.333669,0.0,62,4,17,8,86154.728558,3,79004.520567,0
126499.072033,0.0,78,4,1,4,135000.0,26,477178.640798,0
78407.744553,0.0,23,2,6,3,135000.0,23,198359.202817,0
78825.208719,67893.245868,41,2,17,4,135000.0,13,276219.763815,1
84333.911297,0.0,69,3,8,1,135000.0,29,227553.510777,0
141174.420894,0.0,71,3,13,5,135000.0,6,248924.008532,0
36326.111985,70815.515414,57,2,15,4,135000.0,3,416774.034599,1
57481.245111,24219.358442,80,2,12,7,135000.0,3,87090.639413,0
76974.379588,0.0,70,0,8,5,135000.0,11,235786.54801,0
122464.614866,0.0,35,4,14,7,135000.0,27,474694.34113,0
115800.113828,0.0,30,4,4,0,135000.0,29,462889.38019700005,0
43973.41539,26681.01539,49,4,19,3,135000.0,23,436988.905207,1
138893.081806,0.0,51,4,14,8,57413.637884,14,247379.139093,1
136962.606026,0.0,74,1,0,8,95153.425776,26,420048.206583,0
116528.705316,0.0,76,0,3,5,135000.0,2,167440.0038,0
130833.000754,0.0,23,2,7,5,135000.0,7,29638.039060000006,0
103581.59068,0.0,77,0,9,6,135000.0,16,450230.05638500006,0
77603.719268,16675.830023,71,0,13,7,135000.0,2,41068.79664,0
25721.725444,75000.0,24,2,1,4,135000.0,16,141667.19451600002,0
125982.67123,0.0,53,1,11,3,135000.0,9,251534.683785,1
102942.102131,0.0,30,3,19,7,116484.395454,15,418543.03062,0
122105.379479,0.0,33,4,9,6,135000.0,11,308658.615641,0
146777.386298,0.0,24,1,5,4,135000.0,4,282599.760897,0
141049.486565,0.0,39,4,15,6,135000.0,9,27116.555344,0
126448.657393,0.0,61,0,2,5,135000.0,7,500000.0,0
58090.269173,65702.483664,62,0,0,8,105764.589861,12,217997.987212,1
74253.304159,40200.860032,67,1,9,8,96573.522088,4,50630.05514700001,0
137550.139639,0.0,42,2,14,2,135000.0,20,277726.915064,1
70768.348092,28505.02859,36,0,2,4,135000.0,3,249317.279283,0
114737.634948,0.0,40,3,5,7,135000.0,24,284935.919719,1
94961.681564,0.0,36,1,12,0,135000.0,24,56898.47698300001,0
40597.467191,43944.48869,20,0,17,5,135000.0,6,307315.765585,0
76354.844741,0.0,26,0,15,3,135000.0,15,339813.88042600005,0
105552.481759,0.0,61,0,0,7,135000.0,29,445405.44491400005,0
91168.862888,0.0,75,0,0,6,135000.0,19,318103.137563,0
80282.987524,0.0,68,1,12,7,114644.268681,14,396729.729673,0
98032.436509,0.0,32,1,1,5,135000.0,24,407000.272679,0
57356.59965800001,12568.817641,73,4,10,2,135000.0,11,228469.518788,0
45072.352153,16818.135786000006,77,0,6,4,135000.0,16,90572.802865,0
32004.337053,16317.418488,54,0,4,0,135000.0,26,78329.763041,1
31247.792297000004,49788.930314,33,3,15,0,135000.0,11,262716.466017,0
123414.450501,0.0,51,0,6,2,135000.0,19,126588.86783,1
102491.219755,0.0,60,2,0,1,135000.0,29,431329.016338,1
129922.459512,0.0,47,2,4,5,135000.0,10,465367.285043,1
84956.025213,0.0,40,0,11,3,135000.0,12,19313.863659,1
142684.768199,0.0,67,4,6,4,135000.0,23,389508.657032,0
88022.649512,0.0,33,4,12,1,135000.0,16,67203.588537,0
79307.38421,10000.0,41,3,13,8,58378.12334400001,18,298115.444618,0
131026.487436,0.0,78,3,11,1,135000.0,6,264037.60787,0
98947.96129,0.0,42,3,6,7,114723.153908,27,47600.891159,1
114155.580983,0.0,69,3,12,4,135000.0,29,76642.88812,0
90816.377145,0.0,49,1,8,0,135000.0,12,168983.501601,1
39974.658293,40998.160499,38,1,0,3,135000.0,8,411599.372034,0
92748.35104,0.0,23,2,4,6,135000.0,13,376689.665154,0
52381.55815,23665.92682,71,2,10,2,135000.0,20,53691.27440900001,0
109696.890737,0.0,33,2,10,1,135000.0,11,306930.81320100004,0
150000.0,0.0,71,0,12,6,135000.0,5,198375.723377,0
47817.841731,20096.729972,77,4,16,8,104484.666608,19,295701.672146,0
129804.125999,0.0,39,2,10,4,135000.0,10,430324.861696,1
90560.669789,0.0,77,0,10,6,135000.0,15,469039.02200000006,0
60790.381343,75000.0,55,0,17,4,135000.0,14,417998.783515,1
51937.833074,23807.173074,50,3,2,7,115785.327908,22,180286.370236,1
75127.152744,0.0,58,1,16,4,135000.0,29,239634.234148,1
35163.887971,72024.380054,79,0,6,3,135000.0,18,134335.757423,0
71603.972987,27425.986306,52,2,3,1,135000.0,20,116490.907626,1
125684.310638,0.0,71,4,11,7,135000.0,7,75617.26886,0
59632.251717,35416.221195,33,2,4,2,135000.0,16,252940.281113,0
142513.900032,0.0,41,0,9,7,135000.0,4,98291.302367,1
104773.212177,0.0,46,3,3,0,135000.0,18,334005.16127399995,1
125359.195481,0.0,27,1,9,2,135000.0,6,472226.63196,0
102822.375309,0.0,66,4,15,7,135000.0,11,262757.03047600004,0
142989.935399,0.0,43,2,10,4,135000.0,12,375447.036398,1
109304.716452,0.0,61,1,13,8,64242.591778,4,88362.852092,0
139245.11880599998,0.0,37,2,15,1,135000.0,21,42994.188485,0
48816.168768,53332.069934,54,0,10,2,135000.0,22,344485.830421,1
125267.528483,0.0,36,2,9,0,135000.0,20,50457.256858,0
148913.436942,0.0,30,1,10,4,135000.0,21,366874.063084,0
114830.924925,0.0,72,0,12,7,135000.0,13,183800.490458,0
123235.810234,0.0,60,1,12,6,135000.0,21,500000.0,0
89350.370064,0.0,40,4,12,5,135000.0,3,32435.887929,1
142993.232676,0.0,36,1,2,1,135000.0,22,140425.80198599998,0
114758.761951,0.0,68,2,5,8,134266.698276,10,404982.111896,0
22229.854261,55873.898392,29,4,3,2,135000.0,3,437096.862934,0
141199.806727,0.0,51,3,19,2,135000.0,12,74644.384727,1
60916.154225,54527.552949,51,0,14,4,135000.0,9,29687.247263,1
130713.594807,0.0,40,3,3,2,135000.0,23,56376.685771,1
129002.920681,0.0,63,3,16,2,135000.0,14,425581.436625,0
60510.337346,23121.963885,70,1,10,3,135000.0,9,442853.187329,0
58602.991074,45925.218929,29,4,2,0,135000.0,21,206282.901272,0
52205.667944,44700.656607,34,4,5,7,135000.0,4,274402.445708,0
81450.617392,0.0,58,2,0,6,135000.0,19,131665.447853,0
72199.178208,0.0,31,4,5,5,135000.0,18,302651.486679,0
127786.605973,0.0,46,2,7,1,135000.0,22,0.0,1
37564.268248,53682.219511,72,1,2,7,135000.0,22,407501.074564,0
104200.843435,0.0,64,0,16,2,135000.0,20,196894.301795,0
80030.004394,0.0,22,4,6,8,104280.122753,12,390769.093476,0
115322.320557,0.0,31,1,1,8,128536.988694,3,241098.275377,0
71814.84043200001,20635.129544,67,3,18,4,135000.0,4,32092.458232,0
86877.1143,0.0,63,3,15,6,135000.0,30,378365.475995,0
27146.339436,52252.360039,49,3,12,2,135000.0,23,8953.972124,1
63284.714513,48381.905253,36,1,6,8,118479.991712,15,337130.473276,0
100933.266296,0.0,71,3,12,6,135000.0,8,278940.420089,0
143926.37105,0.0,28,3,12,5,135000.0,3,89790.064677,0
79139.620977,0.0,80,4,11,1,135000.0,20,13717.505505,0
90277.428983,0.0,80,4,2,8,135000.0,27,140418.773604,0
54118.433603,23082.519213,76,3,13,6,135000.0,20,466775.872039,0
97893.256383,0.0,61,0,1,1,135000.0,2,474945.81065,1
82815.543404,0.0,41,0,2,4,135000.0,20,500000.0,1
148296.65004100002,0.0,22,1,8,7,112825.170791,19,264466.017206,0
63049.17146000001,53179.565309,69,0,3,3,135000.0,30,385233.550534,0
51783.315459,45287.187398,80,3,3,7,135000.0,15,468442.513228,0
37925.728508,55297.11464299999,77,2,8,0,135000.0,4,242963.761266,0
116008.093296,0.0,34,0,3,7,113664.784883,29,160955.336035,0
35620.235298,50215.043095,70,2,10,8,49185.963928,16,26058.184588,0
62533.035388,32051.49645,64,3,17,3,135000.0,10,287363.116801,0
130105.750559,0.0,24,1,12,6,135000.0,17,450609.635525,0
29749.486199000006,14904.745449000002,78,4,6,7,135000.0,10,257292.245118,0
97669.107373,0.0,67,0,13,0,135000.0,25,206482.533243,0
93344.434086,0.0,23,4,7,3,135000.0,10,12468.535993,0
25493.987701,36482.083332,36,0,0,5,135000.0,28,257244.314754,0
40552.571763,10000.0,55,1,6,2,135000.0,4,151100.749141,1
77614.462495,0.0,51,3,5,6,135000.0,19,0.0,1
133205.72535,0.0,23,0,8,1,135000.0,13,156677.800444,0
68348.53864500001,39011.252664,64,3,1,0,135000.0,15,417646.973538,0
70906.752421,0.0,56,4,2,5,135000.0,8,0.0,1
77233.769066,35995.70215,73,0,9,7,135000.0,9,477469.486699,0
67657.810838,65996.706142,58,1,5,2,135000.0,11,45059.43665400001,0
143060.681843,0.0,30,3,9,7,135000.0,2,391695.948138,0
147937.068503,0.0,41,2,2,7,135000.0,3,42354.731784,1
129463.512243,0.0,80,3,5,6,135000.0,19,405806.274722,0
52949.162781,50161.44737900001,63,0,17,0,135000.0,30,442363.216167,0
78120.114864,0.0,54,3,18,3,135000.0,7,152523.80937899998,1
111189.039775,0.0,33,1,17,4,135000.0,16,149039.65270799998,0
136275.504496,0.0,54,3,5,1,135000.0,7,34808.201302,1
40437.22037900001,35383.507817000005,56,1,9,0,135000.0,18,162254.975699,1
63527.708209,56612.08577100001,41,3,6,0,135000.0,4,425826.283875,1
21126.138137,59951.683423,61,0,12,7,135000.0,29,112727.117982,0
132454.598896,0.0,37,2,14,0,135000.0,3,22796.547453,0
26937.443705,73411.0532,40,1,8,5,135000.0,12,297295.82555300003,0
90811.12599,0.0,42,4,19,3,135000.0,9,86454.340588,1
107455.364877,0.0,51,0,7,8,69975.512808,16,308047.231797,1
124808.522424,0.0,76,0,2,2,135000.0,27,323022.620957,0
37479.998857,23637.32948,20,4,14,1,135000.0,25,410739.689599,0
73611.104117,0.0,68,3,0,2,135000.0,2,312588.556548,0
50395.581781,68171.88024,28,4,18,0,135000.0,13,379625.893902,0
71970.32457000001,0.0,27,3,1,6,135000.0,21,463247.486664,0
73119.925189,47406.715185,44,4,9,0,135000.0,14,38814.703797,1
49351.137337,33779.278896,32,2,1,0,135000.0,2,300902.531459,0
52372.294786,53014.441582,43,1,17,4,135000.0,19,349856.839723,1
40892.459785,27810.317218,42,1,16,5,135000.0,18,188957.341413,1
139023.127273,0.0,20,4,15,5,135000.0,16,104680.518369,0
140931.94354,0.0,45,3,6,6,135000.0,26,49061.596657,1
52566.45174,46687.562046,71,4,15,5,135000.0,10,314481.055424,0
90992.624842,0.0,27,1,1,1,135000.0,22,138893.805517,0
106641.083972,0.0,50,0,8,5,135000.0,20,66591.927408,1
111128.10328,0.0,76,4,2,6,135000.0,28,86871.407291,0
138388.67033,0.0,65,2,10,4,135000.0,20,199243.197955,0
66258.003734,48554.181906,50,0,3,0,135000.0,4,289579.93951500003,1
25086.2967,56058.823014,29,4,6,5,135000.0,1,407093.89736,0
42325.298657,65229.452967,67,4,15,7,107445.44385999998,8,300351.994046,0
91888.84731,0.0,58,4,17,8,88977.834572,14,75704.443075,1
21221.298126,53473.530782,23,2,4,1,135000.0,11,344746.36801700003,0
48452.258099,58631.552517,47,0,1,8,135000.0,19,387229.954442,1
83137.80268200001,0.0,68,1,5,7,108829.395157,10,398524.097664,0
84452.191175,0.0,27,3,2,5,135000.0,28,214214.51431,0
63484.935072,17553.98544,40,0,2,6,135000.0,4,32672.456392,0
74139.13223300001,15055.616503,26,1,13,8,57743.571351,7,255001.181181,0
99523.880966,0.0,55,4,4,6,135000.0,28,178723.126827,1
150000.0,0.0,36,4,5,1,135000.0,22,135584.480351,0
40847.994918,70317.947746,71,2,0,1,135000.0,3,90449.379105,0
61079.17840700001,11946.4424,40,1,9,5,135000.0,23,195585.406036,0
143519.587028,0.0,56,2,11,3,135000.0,5,185572.351903,1
99417.735305,0.0,32,2,11,8,135000.0,25,33880.241293,0
81297.5268,0.0,68,1,8,4,135000.0,1,472520.855314,0
32539.90664,30206.121447,67,4,19,3,135000.0,15,26613.753387,0
49540.823424,71452.73936200001,58,4,14,5,135000.0,14,209548.400235,0
138810.147949,0.0,64,4,5,6,135000.0,3,266488.67274,0
142843.95721199998,0.0,63,3,5,4,135000.0,8,198330.411704,0
142242.143079,0.0,43,0,6,3,135000.0,7,195496.67868,1
75817.741941,0.0,61,4,15,8,97597.206213,6,41420.26181,0
132840.164904,0.0,42,2,1,0,135000.0,28,485443.2794140001,1
57030.038628,49844.797948,23,4,3,3,135000.0,13,237213.699506,0
66329.126287,32658.933136,36,3,8,6,135000.0,27,369720.65851,0
55914.381718,72713.526493,45,3,18,4,135000.0,15,200552.092192,1
52402.770657,37383.881348,38,4,6,8,64284.53803400001,6,83066.522849,1
137306.456628,0.0,43,1,17,1,135000.0,16,302713.683362,1
101307.914484,0.0,25,2,8,2,135000.0,13,333542.248511,0
61728.085637,50024.409497,56,1,15,8,60294.672829,16,468419.086134,1
76623.297599,0.0,26,1,12,1,135000.0,7,276471.17707800004,0
146859.279396,0.0,46,4,0,7,135000.0,2,333101.954195,1
73955.162491,26197.742609,36,0,19,0,135000.0,4,443255.829942,0
108750.201369,0.0,61,4,13,1,135000.0,9,172115.00927,0
76794.29133200001,0.0,64,3,6,1,135000.0,11,75723.48162,0
78098.328681,0.0,22,4,19,5,135000.0,3,54507.588131,0
118284.270455,0.0,68,4,2,8,56186.88735800001,22,283326.88818,0
62286.45224500001,23344.043679,47,2,7,8,55852.11839500001,19,75653.364938,1
22220.174079,24137.00827,54,4,13,5,135000.0,13,450939.168601,1
109549.43103900002,0.0,56,2,8,8,48614.534243,11,462089.791511,1
140697.308867,0.0,69,0,12,5,135000.0,27,255337.255046,0
46990.109584,22292.741647,73,3,14,6,135000.0,30,149942.844044,0
78483.730354,0.0,65,3,2,5,135000.0,10,343226.200065,0
43891.569675,33258.913107,77,4,1,6,135000.0,12,161369.853256,0
29482.818677,69487.644999,57,1,5,0,135000.0,21,221367.062811,1
150000.0,0.0,65,1,12,8,82472.305903,20,83166.336404,0
150000.0,0.0,24,4,15,8,104361.286604,21,134339.394905,0
76320.698899,0.0,57,0,7,1,135000.0,22,79991.182094,1
37866.480042,43998.15833,32,3,16,8,86212.469975,27,479665.95544,0
136064.627043,0.0,32,2,9,3,135000.0,11,106617.986541,0
150000.0,0.0,47,2,15,3,135000.0,26,178552.431667,1
37035.588448,30041.148187,64,0,11,4,135000.0,2,430163.355478,0
105028.030515,0.0,39,0,19,6,135000.0,22,500000.0,0
109770.43845,0.0,47,3,2,8,120288.968143,9,333436.754556,1
44066.059206,15034.658688,60,4,1,2,135000.0,19,181206.071058,1
139330.222901,0.0,73,3,16,8,89069.36994199998,13,104040.573108,0
103153.989881,0.0,79,0,0,4,135000.0,24,204798.257626,0
58690.88240800001,21725.623786,57,2,13,2,135000.0,20,321606.601599,1
30332.456575,35177.296072000005,67,4,5,6,135000.0,15,475564.423999,0
